season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP,PLAYER_ID,TEAM_ID
2018,Aaron Brooks,33.0,MIN,32,19,13,0.594,189.41333333333333,28,69,11,31,8,11,7,10,17,20,6,0,11,75,0.508,0.4492753623188406,0.15942028985507245,0.036,0.057,0.046,0.161,,0.192,,,,,,,,201166,1610612750
2018,Aaron Gordon,22.0,ORL,58,19,39,0.328,1909.0783333333334,375,865,115,342,157,225,87,370,457,136,59,45,107,1022,0.53,0.3953757225433526,0.26011560693641617,0.044,0.191,0.116,0.111,,0.238,,,,,,,,203932,1610612753
2018,Aaron Harrison,23.0,DAL,9,2,7,0.222,233.25166666666667,19,69,9,43,13,17,4,20,24,11,9,2,3,60,0.392,0.6231884057971014,0.2463768115942029,0.015,0.091,0.049,0.072,,0.147,,,,,,,,1626151,1610612742
2018,Aaron Jackson,32.0,HOU,1,0,1,0.0,34.5,3,9,1,4,1,2,2,1,3,1,0,0,1,8,0.405,0.4444444444444444,0.2222222222222222,0.056,0.031,0.044,0.053,,0.149,,,,,,,,1628935,1610612745
2018,Abdel Nader,24.0,BOS,48,33,15,0.688,521.5266666666666,50,149,23,65,23,39,13,58,71,26,15,10,34,146,0.439,0.436241610738255,0.26174496644295303,0.024,0.111,0.067,0.078,,0.162,,,,,,,,1627846,1610612738
2018,Adreian Payne,27.0,ORL,5,0,5,0.0,42.54833333333333,7,10,2,3,5,6,2,7,9,0,2,0,2,21,0.831,0.3,0.6,0.044,0.226,0.118,0.0,,0.155,,,,,,,,203940,1610612753
2018,Al Horford,32.0,BOS,72,47,25,0.653,2277.025,368,753,97,226,94,120,103,428,531,339,43,78,132,927,0.575,0.300132802124834,0.1593625498007968,0.047,0.178,0.115,0.225,,0.183,,,,,,,,201143,1610612738
2018,Al Jefferson,33.0,IND,36,17,19,0.472,483.56,111,208,0,3,30,36,30,113,143,30,16,23,21,252,0.563,0.014423076923076924,0.17307692307692307,0.061,0.227,0.144,0.098,,0.218,,,,,,,,2744,1610612754
2018,Al-Farouq Aminu,27.0,POR,69,40,29,0.58,2072.1716666666666,230,582,125,339,59,80,97,428,525,84,79,40,79,644,0.522,0.5824742268041238,0.13745704467353953,0.045,0.198,0.121,0.056,,0.145,,,,,,,,202329,1610612757
2018,Alan Williams,25.0,PHX,5,1,4,0.2,70.335,7,18,0,0,6,9,3,19,22,8,5,1,7,20,0.455,0.0,0.5,0.039,0.26,0.148,0.195,,0.184,,,,,,,,1626210,1610612756
2018,Alec Burks,26.0,UTA,64,37,27,0.578,1058.66,170,414,47,142,107,124,19,173,192,67,37,8,60,494,0.527,0.34299516908212563,0.2995169082125604,0.019,0.168,0.094,0.104,,0.221,,,,,,,,202692,1610612762
2018,Alec Peters,23.0,PHX,20,2,18,0.1,224.855,28,74,18,58,8,10,8,29,37,12,2,2,4,82,0.523,0.7837837837837838,0.13513513513513514,0.032,0.12,0.076,0.073,,0.151,,,,,,,,1628409,1610612756
2018,Alex Abrines,24.0,OKC,75,42,33,0.56,1134.1866666666667,115,291,84,221,39,46,26,88,114,28,38,8,25,353,0.567,0.7594501718213058,0.15807560137457044,0.021,0.079,0.049,0.036,,0.126,,,,,,,,203518,1610612760
2018,Alex Caruso,24.0,LAL,37,16,21,0.432,561.91,50,116,13,43,21,30,15,50,65,75,23,10,42,134,0.519,0.3706896551724138,0.25862068965517243,0.026,0.086,0.056,0.185,,0.128,,,,,,,,1627936,1610612747
2018,Alex Len,25.0,PHX,69,20,49,0.29,1395.3466666666666,214,378,1,3,158,231,175,343,518,82,27,61,78,587,0.612,0.007936507936507936,0.6111111111111112,0.116,0.228,0.172,0.093,,0.164,,,,,,,,203458,1610612756
2018,Alex Poythress,24.0,IND,25,10,15,0.4,104.125,11,26,4,11,0,0,7,10,17,2,3,1,2,26,0.5,0.4230769230769231,0.0,0.061,0.102,0.08,0.026,,0.112,,,,,,,,1627816,1610612754
2018,Alfonzo McKinnie,25.0,TOR,14,13,1,0.929,53.43833333333333,8,15,3,9,2,3,1,6,7,1,1,1,3,21,0.643,0.6,0.2,0.022,0.098,0.066,0.027,,0.158,,,,,,,,1628035,1610612761
2018,Allen Crabbe,26.0,BKN,75,25,50,0.333,2197.2,337,827,201,532,115,135,28,296,324,117,47,35,78,990,0.558,0.6432889963724304,0.16324062877871826,0.012,0.13,0.07,0.082,,0.183,,,,,,,,203459,1610612751
2018,Amir Johnson,31.0,PHI,74,47,27,0.635,1170.3016666666667,140,260,10,32,52,85,123,207,330,118,45,44,55,342,0.575,0.12307692307692308,0.3269230769230769,0.102,0.169,0.136,0.137,,0.125,,,,,,,,101161,1610612755
2018,Andre Drummond,24.0,DET,78,37,41,0.474,2624.8483333333334,466,881,0,11,239,395,399,848,1247,237,114,127,200,1171,0.555,0.012485811577752554,0.44835414301929627,0.145,0.329,0.234,0.14,,0.207,,,,,,,,203083,1610612765
2018,Andre Iguodala,34.0,GSW,64,46,18,0.719,1622.4783333333332,148,320,33,117,55,87,50,196,246,210,54,38,67,384,0.536,0.365625,0.271875,0.033,0.109,0.074,0.169,,0.112,,,,,,,,2738,1610612744
2018,Andre Ingram,32.0,LAL,2,1,1,0.5,64.13333333333334,8,17,5,9,3,3,1,5,6,7,3,3,3,24,0.655,0.5294117647058824,0.17647058823529413,0.016,0.072,0.046,0.149,,0.136,,,,,,,,201281,1610612747
2018,Andre Roberson,26.0,OKC,39,24,15,0.615,1036.6783333333333,87,162,8,36,12,38,75,110,185,46,45,35,30,194,0.543,0.2222222222222222,0.2345679012345679,0.068,0.109,0.088,0.059,,0.085,,,,,,,,203460,1610612760
2018,Andrew Bogut,33.0,LAL,24,7,17,0.292,216.395,17,25,0,0,2,2,26,52,78,15,4,13,19,36,0.696,0.0,0.08,0.104,0.223,0.162,0.099,,0.085,,,,,,,,101106,1610612747
2018,Andrew Harrison,23.0,MEM,56,17,39,0.304,1326.2716666666668,181,429,47,142,124,159,23,108,131,177,38,26,81,533,0.534,0.331002331002331,0.3706293706293706,0.017,0.085,0.051,0.222,,0.195,,,,,,,,1626150,1610612763
2018,Andrew White III,25.0,ATL,15,1,14,0.067,209.10666666666665,25,73,18,49,1,4,4,30,34,6,3,1,8,69,0.461,0.6712328767123288,0.0547945205479452,0.016,0.133,0.072,0.05,,0.16,,,,,,,,1628510,1610612737
2018,Andrew Wiggins,23.0,MIN,82,47,35,0.573,2978.7033333333334,569,1300,112,338,202,314,82,276,358,160,91,51,138,1452,0.505,0.26,0.24153846153846154,0.028,0.094,0.061,0.08,,0.228,,,,,,,,203952,1610612750
2018,Ante Zizic,21.0,CLE,32,21,11,0.656,214.24,49,67,0,0,21,29,24,36,60,5,2,13,11,119,0.746,0.0,0.43283582089552236,0.112,0.179,0.145,0.039,,0.171,,,,,,,,1627790,1610612739
2018,Anthony Brown,25.0,MIN,1,0,1,0.0,3.7333333333333334,1,1,1,1,0,0,0,0,0,1,0,0,0,3,1.5,1.0,0.0,0.0,0.0,0.0,0.333,,0.1,,,,,,,,1626148,1610612750
2018,Anthony Davis,25.0,NOP,75,45,30,0.6,2727.2366666666667,780,1462,55,162,495,598,187,644,831,174,115,193,162,2110,0.612,0.11080711354309165,0.40902872777017785,0.07,0.213,0.146,0.104,,0.291,,,,,,,,203076,1610612740
2018,Anthony Tolliver,33.0,DET,79,37,42,0.468,1757.055,219,472,159,365,106,133,50,191,241,90,32,21,58,703,0.663,0.7733050847457628,0.2817796610169492,0.027,0.109,0.067,0.076,,0.144,,,,,,,,201229,1610612765
2018,Antonio Blakeney,21.0,CHI,19,3,16,0.158,313.9,53,143,15,52,30,39,4,29,33,20,7,1,11,151,0.471,0.36363636363636365,0.2727272727272727,0.011,0.089,0.049,0.096,,0.227,,,,,,,,1628469,1610612741
2018,Antonius Cleveland,24.0,ATL,17,7,10,0.412,122.53,8,21,3,4,4,6,3,11,14,2,7,5,7,23,0.486,0.19047619047619047,0.2857142857142857,0.022,0.085,0.052,0.025,,0.107,,,,,,,,1628499,1610612737
2018,Aron Baynes,31.0,BOS,81,54,27,0.667,1484.4933333333333,210,446,3,21,59,78,130,304,434,93,22,51,80,482,0.502,0.04708520179372197,0.17488789237668162,0.086,0.196,0.141,0.095,,0.166,,,,,,,,203382,1610612738
2018,Arron Afflalo,32.0,ORL,53,16,37,0.302,681.575,65,162,27,70,22,26,4,62,66,30,4,9,21,179,0.516,0.43209876543209874,0.16049382716049382,0.006,0.082,0.046,0.066,,0.127,,,,,,,,201167,1610612753
2018,Austin Rivers,25.0,LAC,61,30,31,0.492,2056.5916666666667,341,805,136,360,102,159,27,118,145,242,74,16,109,920,0.526,0.4472049689440994,0.19751552795031055,0.013,0.058,0.035,0.179,,0.206,,,,,,,,203085,1610612746
2018,Avery Bradley,27.0,LAC,46,22,24,0.478,1433.07,259,625,75,203,63,82,22,94,116,94,51,8,101,656,0.496,0.3248,0.1312,0.014,0.068,0.04,0.105,,0.229,,,,,,,,202340,1610612746
2018,Bam Adebayo,20.0,MIA,69,34,35,0.493,1368.185,174,340,0,7,129,179,118,263,381,101,32,41,66,477,0.57,0.020588235294117647,0.5264705882352941,0.086,0.194,0.14,0.115,,0.157,,,,,,,,1628389,1610612748
2018,Ben McLemore,25.0,MEM,56,7,49,0.125,1090.62,157,373,55,159,53,64,34,105,139,51,38,15,61,422,0.526,0.4262734584450402,0.17158176943699732,0.03,0.101,0.064,0.078,,0.182,,,,,,,,203463,1610612763
2018,Ben Moore,23.0,IND,2,1,1,0.5,9.283333333333333,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0,,,0.0,0.167,0.059,0.111,,0.0,,,,,,,,1628500,1610612754
2018,Ben Simmons,21.0,PHI,81,51,30,0.63,2731.5533333333333,544,998,0,11,191,341,145,514,659,661,140,70,278,1279,0.557,0.011022044088176353,0.34168336673346694,0.053,0.171,0.115,0.362,,0.219,,,,,,,,1627732,1610612755
2018,Bismack Biyombo,25.0,ORL,82,25,57,0.305,1494.89,183,352,0,1,102,157,144,324,468,66,21,95,84,468,0.556,0.002840909090909091,0.4460227272727273,0.091,0.209,0.149,0.07,,0.146,,,,,,,,202687,1610612753
2018,Blake Griffin,29.0,DET,58,28,30,0.483,1969.8216666666667,436,996,111,322,259,330,73,355,428,334,40,18,165,1242,0.544,0.3232931726907631,0.3313253012048193,0.036,0.175,0.106,0.286,,0.285,,,,,,,,201933,1610612765
2018,Boban Marjanovic,29.0,LAC,39,18,21,0.462,337.87,79,148,0,0,77,97,48,96,144,22,10,11,36,235,0.616,0.0,0.6554054054054054,0.151,0.274,0.215,0.1,,0.276,,,,,,,,1626246,1610612746
2018,Bobby Brown,33.0,HOU,20,17,3,0.85,114.93333333333334,19,58,11,40,1,2,0,7,7,11,4,0,9,50,0.425,0.6896551724137931,0.034482758620689655,0.0,0.061,0.029,0.19,,0.252,,,,,,,,201628,1610612745
2018,Bobby Portis,23.0,CHI,73,25,48,0.342,1642.52,382,811,80,223,120,156,159,339,498,123,50,23,103,964,0.548,0.2749691738594328,0.19235511713933415,0.089,0.207,0.145,0.126,,0.25,,,,,,,,1626171,1610612741
