season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP
2015,Quincy Acy,24.0,NYK,,,,,1287.0,,331.0,,,,97.0,,,,68.0,27.0,22.0,60.0,398.0,0.533,0.181,0.293,0.069,0.205,0.135,0.087,0.138,0.155,11.9,1.7,1.0,0.7,0.063,-3.1,-0.3
2015,Jordan Adams,20.0,MEM,,,,,248.0,,86.0,,,,23.0,,,,16.0,16.0,7.0,14.0,94.0,0.489,0.291,0.267,0.042,0.087,0.064,0.1009999999999999,0.127,0.204,12.8,0.4,0.0,0.4,0.073,-0.6,0.1
2015,Steven Adams,21.0,OKC,,,,,1771.0,,399.0,,,,205.0,,,,66.0,38.0,86.0,99.0,537.0,0.549,0.005,0.514,0.122,0.193,0.158,0.055,0.168,0.143,14.1,4.1,1.9,2.2,0.111,0.4,1.1
2015,Jeff Adrien,28.0,MIN,,,,,215.0,,44.0,,,,38.0,,,,15.0,4.0,9.0,9.0,60.0,0.494,0.0,0.864,0.119,0.296,0.205,0.105,0.129,0.143,14.2,0.4,0.2,0.2,0.087,-2.2,0.0
2015,Arron Afflalo,29.0,DEN,,,,,1750.0,,657.0,,,,151.0,,,,101.0,32.0,5.0,83.0,771.0,0.533,0.37,0.23,0.013,0.102,0.0559999999999999,0.093,0.103,0.1989999999999999,11.7,1.8,1.4,0.4,0.05,-1.6,0.2
2015,Arron Afflalo,29.0,POR,,,,,752.0,,227.0,,,,47.0,,,,28.0,9.0,2.0,33.0,264.0,0.533,0.396,0.207,0.009,0.085,0.048,0.055,0.118,0.1669999999999999,8.2,0.8,0.2,0.5,0.049,-2.3,-0.1
2015,Alexis Ajinca,26.0,NOP,,,,,957.0,,329.0,,,,99.0,,,,47.0,21.0,51.0,69.0,443.0,0.595,0.0,0.301,0.124,0.25,0.187,0.0819999999999999,0.156,0.211,19.9,3.2,1.9,1.2,0.159,0.2,0.5
2015,Furkan Aldemir,23.0,PHI,,,,,540.0,,78.0,,,,27.0,,,,28.0,17.0,16.0,17.0,93.0,0.517,0.064,0.346,0.149,0.207,0.177,0.083,0.159,0.086,12.0,1.4,0.7,0.7,0.122,-0.7,0.2
2015,Cole Aldrich,26.0,NYK,,,,,976.0,,301.0,,,,64.0,,,,75.0,37.0,65.0,59.0,338.0,0.513,0.0,0.213,0.1159999999999999,0.289,0.2,0.133,0.152,0.183,18.1,2.2,0.8,1.4,0.107,0.9,0.7
2015,LaMarcus Aldridge,29.0,POR,,,,,2512.0,,1415.0,,,,362.0,,,,124.0,48.0,68.0,122.0,1661.0,0.528,0.074,0.256,0.077,0.2289999999999999,0.155,0.092,0.072,0.302,22.8,8.6,4.9,3.7,0.165,0.3,1.4
2015,Lavoy Allen,25.0,IND,,,,,1070.0,,299.0,,,,47.0,,,,73.0,15.0,42.0,40.0,315.0,0.493,0.0,0.157,0.128,0.205,0.1669999999999999,0.109,0.111,0.152,14.9,2.8,1.3,1.6,0.127,0.8,0.8
2015,Tony Allen,33.0,MEM,,,,,1648.0,,455.0,,,,126.0,,,,86.0,129.0,30.0,86.0,539.0,0.528,0.064,0.277,0.072,0.122,0.0969999999999999,0.081,0.144,0.166,14.6,4.1,0.9,3.2,0.119,3.3,2.2
2015,Al-Farouq Aminu,24.0,DAL,,,,,1366.0,,357.0,,,,118.0,,,,59.0,70.0,62.0,55.0,412.0,0.504,0.347,0.331,0.091,0.184,0.1369999999999999,0.061,0.119,0.152,14.4,3.3,1.2,2.0,0.115,2.4,1.5
2015,Lou Amundson,32.0,CLE,,,,,79.0,,12.0,,,,5.0,,,,5.0,1.0,0.0,5.0,11.0,0.387,0.0,0.417,0.074,0.215,0.145,0.087,0.26,0.11,3.8,0.0,-0.1,0.1,-0.011,-6.3,-0.1
